;id;dish_id;sale_id;quantity
0;1;3;1;2
10000;2;17;1;1
1;3;46;2;1
10001;4;38;2;1
2;5;19;3;3
10002;6;22;3;3
3;7;18;4;1
10003;8;43;4;1
4;9;39;5;3
10004;10;44;5;1
5;11;8;6;3
10005;12;48;6;2
6;13;10;7;3
10006;14;67;7;1
10007;15;46;8;3
7;16;41;8;3
10008;17;42;9;3
8;18;50;9;1
10009;19;64;10;3
9;20;31;10;3
10010;21;42;11;3
10;22;56;11;1
11;23;15;12;1
10011;24;11;12;3
12;25;43;13;3
10012;26;18;13;3
13;27;7;14;2
10013;28;30;14;3
14;29;70;15;3
10014;30;39;15;1
10015;31;49;16;2
15;32;42;16;3
16;33;50;17;1
10016;34;22;17;2
10017;35;58;18;3
17;36;18;18;2
18;37;32;19;1
10018;38;46;19;1
10019;39;20;20;1
19;40;66;20;3
20;41;12;21;1
10020;42;48;21;2
21;43;24;22;3
10021;44;45;22;3
22;45;7;23;3
10022;46;22;23;1
10023;47;30;24;2
23;48;50;24;2
10024;49;53;25;1
24;50;8;25;3
10025;51;35;26;1
25;52;15;26;2
26;53;47;27;3
10026;54;11;27;3
10027;55;53;28;3
27;56;61;28;1
10028;57;29;29;2
28;58;28;29;1
10029;59;64;30;3
29;60;24;30;2
30;61;19;31;1
10030;62;3;31;2
31;63;20;32;1
10031;64;67;32;1
10032;65;54;33;1
32;66;66;33;3
33;67;20;34;3
10033;68;18;34;1
34;69;21;35;3
10034;70;64;35;3
35;71;38;36;1
10035;72;23;36;1
10036;73;34;37;1
36;74;33;37;3
37;75;68;38;2
10037;76;34;38;2
38;77;44;39;3
10038;78;63;39;1
39;79;57;40;1
10039;80;18;40;3
40;81;45;41;2
10040;82;55;41;3
10041;83;28;42;3
41;84;70;42;3
10042;85;64;43;2
42;86;39;43;1
43;87;35;44;3
10043;88;19;44;1
10044;89;38;45;2
44;90;37;45;2
45;91;22;46;1
10045;92;70;46;2
46;93;38;47;3
10046;94;69;47;3
47;95;50;48;2
10047;96;41;48;1
48;97;33;49;1
10048;98;13;49;1
49;99;38;50;3
10049;100;7;50;2
10050;101;25;51;1
50;102;48;51;2
10051;103;71;52;2
51;104;56;52;1
10052;105;58;53;2
52;106;11;53;1
10053;107;58;54;1
53;108;43;54;3
10054;109;22;55;2
54;110;63;55;1
10055;111;69;56;1
55;112;67;56;2
56;113;8;57;2
10056;114;39;57;1
57;115;9;58;3
10057;116;2;58;3
58;117;50;59;3
10058;118;60;59;3
59;119;58;60;2
10059;120;8;60;2
10060;121;27;61;1
60;122;24;61;1
61;123;46;62;2
10061;124;20;62;1
62;125;29;63;1
10062;126;5;63;3
63;127;18;64;1
10063;128;46;64;1
64;129;44;65;1
10064;130;50;65;1
10065;131;8;66;2
65;132;34;66;3
66;133;61;67;3
10066;134;70;67;3
10067;135;55;68;1
67;136;40;68;3
68;137;2;69;1
10068;138;56;69;2
10069;139;10;70;1
69;140;39;70;3
10070;141;56;71;2
70;142;1;71;1
10071;143;12;72;3
71;144;19;72;1
72;145;52;73;3
10072;146;24;73;3
73;147;50;74;2
10073;148;68;74;1
74;149;59;75;3
10074;150;32;75;1
75;151;23;76;2
10075;152;27;76;2
76;153;29;77;3
10076;154;28;77;1
77;155;69;78;3
10077;156;2;78;2
78;157;20;79;1
10078;158;23;79;1
10079;159;20;80;1
79;160;10;80;2
10080;161;52;81;1
80;162;34;81;3
10081;163;4;82;2
81;164;35;82;2
82;165;40;83;1
10082;166;43;83;1
10083;167;5;84;1
83;168;6;84;2
10084;169;27;85;1
84;170;71;85;1
85;171;53;86;2
10085;172;51;86;3
86;173;15;87;3
10086;174;50;87;3
87;175;54;88;3
10087;176;63;88;2
10088;177;29;89;1
88;178;53;89;3
10089;179;56;90;1
89;180;46;90;1
10090;181;16;91;2
90;182;9;91;2
10091;183;8;92;2
91;184;26;92;2
92;185;24;93;1
10092;186;8;93;3
93;187;4;94;1
10093;188;39;94;3
94;189;8;95;2
10094;190;3;95;3
95;191;58;96;3
10095;192;61;96;1
10096;193;55;97;2
96;194;59;97;1
97;195;36;98;3
10097;196;18;98;3
10098;197;5;99;2
98;198;39;99;3
10099;199;62;100;1
99;200;34;100;1
10100;201;16;101;3
100;202;30;101;2
101;203;2;102;1
10101;204;71;102;1
102;205;41;103;2
10102;206;4;103;1
103;207;8;104;3
10103;208;60;104;2
104;209;70;105;1
10104;210;2;105;1
10105;211;65;106;3
105;212;40;106;2
10106;213;28;107;2
106;214;5;107;2
10107;215;47;108;1
107;216;29;108;3
10108;217;58;109;2
108;218;27;109;1
109;219;26;110;1
10109;220;39;110;1
110;221;68;111;2
10110;222;24;111;3
10111;223;66;112;2
111;224;45;112;3
112;225;60;113;1
10112;226;37;113;3
113;227;51;114;2
10113;228;41;114;3
10114;229;13;115;3
114;230;26;115;2
10115;231;67;116;3
115;232;67;116;3
10116;233;17;117;1
116;234;33;117;1
10117;235;37;118;1
117;236;26;118;2
10118;237;61;119;1
118;238;21;119;1
10119;239;20;120;2
119;240;64;120;1
120;241;4;121;2
10120;242;35;121;3
121;243;8;122;2
10121;244;27;122;3
10122;245;46;123;2
122;246;70;123;2
123;247;1;124;1
10123;248;37;124;2
124;249;28;125;3
10124;250;7;125;3
125;251;31;126;3
10125;252;48;126;3
126;253;2;127;2
10126;254;42;127;3
127;255;36;128;2
