id;name_dish;description_dish;category;price;id_restaurant
1;Classic Burger;Deliciosa hamburguesa clásica con carne jugosa, pan suave, lechuga, tomate y queso.;Hamburguesa;9.99;1
2;Cheeseburger Supreme;Hamburguesa con doble carne, queso fundido, tocino crujiente y salsa especial.;Hamburguesa;12.99;1
3;Spicy Chicken Sandwich;Sándwich de pollo picante con lechuga, tomate y mayonesa de chipotle.;Sándwich;10.99;1
4;Vegetarian Deluxe;Burger vegetariana con una sabrosa mezcla de verduras, queso y aderezo especial.;Hamburguesa;9.99;1
5;Eggs Benedict;Huevos pochados sobre muffin inglés con lonchas de jamón cubiertos de salsa holandesa.;Desayuno;11.99;2
6;French Toast;Tostadas francesas esponjosas servidas con jarabe de arce y mantequilla.;Desayuno;8.99;2
7;Cobb Salad;Ensalada clásica con pollo a la parrilla, aguacate, huevo, tomate y aderezo de queso azul.;Ensalada;10.99;2
8;Caramel Macchiato;Café espresso con leche caliente y espuma de leche, endulzado con caramelo.;Café;4.99;3
9;Croissant de jamón y queso;Croissant horneado con jamón y queso fundido.;Desayuno;3.99;3
10;Chocolate Chip Muffin;Muffin de chocolate con chispas, perfecto para acompañar el café.;Postre;2.99;3
11;Taco al Pastor;Taco mexicano con carne de cerdo marinada, piña, cebolla y cilantro.;Taco;3.5;4
12;Taco de Barbacoa;Taco de carne de res jugosa y tierna cocinada a fuego lento, con cebolla y cilantro.;Taco;3.5;4
13;Quesadilla de Pollo;Quesadilla de tortilla de harina con pollo a la parrilla, queso fundido y guacamole.;Plato Principal;9.99;4
14;Margherita Pizza;Pizza clásica italiana con salsa de tomate, mozzarella fresca y albahaca.;Pizza;12.99;5
15;Pepperoni Lovers;Pizza con salsa de tomate, queso mozzarella y abundante pepperoni.;Pizza;14.99;5
16;Hawaiian Delight;Pizza con jamón, piña, salsa de tomate y queso mozzarella.;Pizza;13.99;5
17;Hot Wings;Alitas de pollo picantes servidas con salsa de tu elección y bastones de apio.;Aperitivo;8.99;6
18;Crispy Chicken Tenders;Tiras de pollo crujientes servidas con papas fritas y salsa de mostaza y miel.;Plato Principal;10.99;6
